index_aleatoire;sexe;age_client;enfant_conduite_accompagnee;enfants;tranches_revenus;usage_vehicule;type_vehicule;est_rouge;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule;tranches_devis
49;M;71;Non;Oui;[> 100k€];Private;Minivan;no;0;25;Highly Urban/ Urban;08/03/2022 23:49;complet;dev_express;[200€ - 400€]
50;M;68;Non;Non;[80k€ - 100k€];Private;Pickup;no;0;7;Highly Urban/ Urban;01/05/2022 22:37;complet;dev_express;[200€ - 400€]
51;M;31;Non;Non;[> 100k€];Private;z_SUV;no;2;12;Highly Urban/ Urban;09/03/2022 16:06;complet;dev_premium;[400€ - 600€]
52;F;54;Oui;Oui;[> 100k€];Private;Minivan;no;0;20;Highly Urban/ Urban;18/03/2022 14:59;complet;dev_integral;[200€ - 400€]
53;F;55;Non;Non;[20k€ - 40k€];Private;Pickup;no;0;0;Highly Urban/ Urban;31/03/2022 03:07;complet;dev_express;[200€ - 400€]
54;F;18;Non;Oui;[40k€ - 60k€];Commercial;Panel Truck;no;1;21;Highly Urban/ Urban;21/03/2022 00:34;complet;dev_express;[200€ - 400€]
55;M;62;Non;Oui;[< 20k€];Private;Minivan;yes;1;0;Highly Urban/ Urban;24/05/2022 23:51;complet;dev_integral;[200€ - 400€]
56;F;21;Oui;Oui;[20k€ - 40k€];Private;Minivan;yes;0;6;Highly Urban/ Urban;23/02/2022 09:01;complet;dev_express;[200€ - 400€]
57;M;19;Non;Non;[> 100k€];Private;Minivan;no;0;7;Highly Urban/ Urban;23/05/2022 09:33;complet;dev_express;[200€ - 400€]
58;F;45;Non;Oui;[< 20k€];Private;Sports Car;no;6;7;Highly Urban/ Urban;24/04/2022 23:44;complet;dev_premium;[400€ - 600€]
59;F;82;Non;Non;[20k€ - 40k€];Commercial;Minivan;no;0;1;Highly Urban/ Urban;13/05/2022 15:01;complet;dev_integral;[200€ - 400€]
60;M;61;Non;Oui;[< 20k€];Commercial;Sports Car;no;7;8;Highly Urban/ Urban;17/05/2022 10:24;complet;dev_integral;[200€ - 400€]
61;F;41;Non;Non;[< 20k€];Private;z_SUV;no;0;0;Highly Urban/ Urban;25/02/2022 10:22;complet;dev_integral;[200€ - 400€]
62;F;67;Non;Non;[> 100k€];Commercial;Pickup;no;0;9;Highly Urban/ Urban;20/01/2022 21:33;complet;dev_premium;[400€ - 600€]
63;M;75;Non;Non;[< 20k€];Private;z_SUV;no;4;0;Highly Urban/ Urban;28/05/2022 16:57;complet;dev_integral;[200€ - 400€]
64;M;44;Non;Non;[40k€ - 60k€];Commercial;z_SUV;no;0;5;Highly Urban/ Urban;15/01/2022 01:30;complet;dev_integral;[200€ - 400€]
65;M;23;Oui;Oui;[< 20k€];Commercial;z_SUV;no;0;8;z_Highly Rural/ Rural;21/02/2022 08:59;complet;dev_express;[200€ - 400€]
66;M;52;Oui;Oui;[40k€ - 60k€];Private;Sports Car;no;2;1;z_Highly Rural/ Rural;20/04/2022 06:44;complet;dev_express;[200€ - 400€]
67;F;41;Non;Non;[60k€ - 80k€];Private;Minivan;no;0;15;Highly Urban/ Urban;24/05/2022 09:47;complet;dev_express;[200€ - 400€]
68;F;7;Non;Non;[60k€ - 80k€];Private;z_SUV;no;0;8;z_Highly Rural/ Rural;24/05/2022 16:03;complet;dev_integral;[200€ - 400€]
69;F;65;Non;Oui;[< 20k€];Private;Minivan;yes;2;0;z_Highly Rural/ Rural;06/01/2022 05:05;complet;dev_express;[200€ - 400€]
70;F;58;Non;Non;[< 20k€];Private;z_SUV;no;0;12;Highly Urban/ Urban;03/04/2022 21:09;complet;dev_integral;[200€ - 400€]
71;M;83;Oui;Oui;[< 20k€];Private;Pickup;yes;0;9;z_Highly Rural/ Rural;03/03/2022 06:41;complet;dev_integral;[200€ - 400€]
72;M;84;Non;Oui;[40k€ - 60k€];Commercial;Van;yes;0;13;Highly Urban/ Urban;09/01/2022 22:09;complet;dev_integral;[200€ - 400€]
73;F;8;Non;Non;[> 100k€];Private;Van;yes;0;12;Highly Urban/ Urban;25/01/2022 22:15;complet;dev_integral;[200€ - 400€]
74;F;36;Non;Non;[> 100k€];Commercial;Panel Truck;no;0;15;Highly Urban/ Urban;31/03/2022 19:09;complet;dev_premium;[400€ - 600€]
75;M;72;Non;Oui;[> 100k€];Private;Sports Car;no;0;16;Highly Urban/ Urban;22/01/2022 06:45;complet;dev_integral;[200€ - 400€]
76;F;82;Non;Non;[40k€ - 60k€];Private;z_SUV;no;0;10;Highly Urban/ Urban;25/04/2022 14:43;complet;dev_integral;[200€ - 400€]
77;M;76;Non;Oui;[< 20k€];Private;z_SUV;no;1;1;Highly Urban/ Urban;05/04/2022 02:47;complet;dev_express;[200€ - 400€]
78;F;9;Oui;Oui;[20k€ - 40k€];Commercial;Van;no;1;5;Highly Urban/ Urban;05/01/2022 16:14;complet;dev_express;[200€ - 400€]
79;M;57;Oui;Oui;[60k€ - 80k€];Commercial;z_SUV;no;1;13;Highly Urban/ Urban;12/01/2022 21:51;complet;dev_express;[200€ - 400€]
80;F;50;Non;Non;[40k€ - 60k€];Commercial;Van;yes;3;21;Highly Urban/ Urban;07/05/2022 13:12;complet;dev_integral;[200€ - 400€]
81;M;71;Non;Non;[60k€ - 80k€];Private;Pickup;no;0;15;Highly Urban/ Urban;17/04/2022 13:11;complet;dev_integral;[200€ - 400€]
82;M;66;Non;Non;[60k€ - 80k€];Private;z_SUV;no;7;18;Highly Urban/ Urban;24/01/2022 10:55;complet;dev_integral;[200€ - 400€]
83;M;77;Non;Non;[40k€ - 60k€];Commercial;Van;yes;2;7;Highly Urban/ Urban;02/01/2022 13:57;complet;dev_express;[200€ - 400€]
84;M;53;Non;Non;[20k€ - 40k€];Commercial;Panel Truck;yes;6;11;Highly Urban/ Urban;19/05/2022 17:14;complet;dev_express;[200€ - 400€]
85;M;57;Non;Oui;[40k€ - 60k€];Private;Sports Car;no;0;2;z_Highly Rural/ Rural;11/01/2022 16:57;complet;dev_integral;[200€ - 400€]
86;M;16;Non;Non;[> 100k€];Private;Sports Car;yes;0;0;Highly Urban/ Urban;04/04/2022 23:29;complet;dev_integral;[200€ - 400€]
87;F;53;Oui;Oui;[80k€ - 100k€];Private;Minivan;no;5;13;Highly Urban/ Urban;31/03/2022 06:34;complet;dev_premium;[200€ - 400€]
88;F;81;Non;Oui;[< 20k€];Private;z_SUV;no;4;1;Highly Urban/ Urban;12/03/2022 10:18;complet;dev_integral;[200€ - 400€]
89;M;83;Non;Oui;[60k€ - 80k€];Commercial;Van;yes;4;8;Highly Urban/ Urban;13/05/2022 02:36;complet;dev_integral;[200€ - 400€]
90;F;43;Non;Non;[> 100k€];Commercial;Sports Car;no;1;6;Highly Urban/ Urban;17/02/2022 13:28;complet;dev_integral;[200€ - 400€]
91;M;33;Non;Non;[> 100k€];Private;Van;yes;4;1;Highly Urban/ Urban;09/04/2022 07:59;complet;dev_express;[200€ - 400€]
92;M;27;Non;Oui;[20k€ - 40k€];Commercial;Minivan;no;0;8;Highly Urban/ Urban;16/05/2022 00:02;complet;dev_express;[200€ - 400€]
93;F;79;Non;Non;[80k€ - 100k€];Private;Minivan;no;2;17;Highly Urban/ Urban;25/02/2022 11:45;complet;dev_express;[200€ - 400€]
94;F;57;Non;Non;[> 100k€];Commercial;Panel Truck;yes;1;0;z_Highly Rural/ Rural;24/02/2022 16:14;complet;dev_integral;[200€ - 400€]
95;F;33;Non;Non;[20k€ - 40k€];Private;Minivan;no;0;1;Highly Urban/ Urban;04/04/2022 05:24;complet;dev_express;[200€ - 400€]
96;M;55;Non;Non;[20k€ - 40k€];Commercial;Minivan;yes;3;10;Highly Urban/ Urban;14/03/2022 18:09;complet;dev_express;[200€ - 400€]
97;M;55;Non;Non;[80k€ - 100k€];Commercial;Minivan;no;0;11;z_Highly Rural/ Rural;16/02/2022 07:07;complet;dev_integral;[200€ - 400€]
98;F;22;Non;Non;[40k€ - 60k€];Private;Minivan;yes;5;18;Highly Urban/ Urban;29/01/2022 04:45;complet;dev_premium;[200€ - 400€]
99;F;2;Non;Oui;[80k€ - 100k€];Private;Pickup;no;0;10;z_Highly Rural/ Rural;11/04/2022 21:52;complet;dev_integral;[200€ - 400€]
100;M;30;Non;Non;[< 20k€];Private;Sports Car;no;0;7;z_Highly Rural/ Rural;05/05/2022 14:13;complet;dev_premium;[400€ - 600€]
101;F;49;Non;Non;[60k€ - 80k€];Private;Pickup;yes;2;9;Highly Urban/ Urban;07/01/2022 08:08;complet;dev_vip;[600€ - 800€]
102;F;67;Non;Non;[< 20k€];Private;Pickup;yes;1;1;Highly Urban/ Urban;27/05/2022 23:47;complet;dev_express;[200€ - 400€]
103;F;51;Non;Oui;[20k€ - 40k€];Commercial;Pickup;no;7;1;Highly Urban/ Urban;14/04/2022 13:13;complet;dev_express;[200€ - 400€]
104;F;70;Non;Oui;[40k€ - 60k€];Private;Minivan;no;0;14;Highly Urban/ Urban;03/04/2022 03:15;complet;dev_integral;[200€ - 400€]
105;F;54;Non;Oui;[20k€ - 40k€];Private;z_SUV;no;6;1;Highly Urban/ Urban;07/05/2022 22:16;complet;dev_express;[200€ - 400€]
106;F;20;Non;Oui;[< 20k€];Private;z_SUV;no;8;1;Highly Urban/ Urban;26/03/2022 13:13;complet;dev_express;[200€ - 400€]
107;F;59;Non;Oui;[> 100k€];Private;Minivan;no;0;10;Highly Urban/ Urban;30/04/2022 23:07;complet;dev_integral;[200€ - 400€]
108;F;65;Non;Non;[> 100k€];Private;Pickup;yes;4;22;Highly Urban/ Urban;07/05/2022 12:19;complet;dev_integral;[200€ - 400€]
109;M;50;Non;Non;[60k€ - 80k€];Private;z_SUV;no;5;1;Highly Urban/ Urban;17/05/2022 07:36;complet;dev_express;[200€ - 400€]
110;F;46;Non;Oui;[80k€ - 100k€];Private;z_SUV;no;0;20;Highly Urban/ Urban;31/03/2022 08:06;complet;dev_express;[200€ - 400€]
111;M;13;Non;Non;[20k€ - 40k€];Commercial;Sports Car;no;5;9;Highly Urban/ Urban;19/01/2022 12:58;complet;dev_integral;[200€ - 400€]
112;F;86;Non;Non;[40k€ - 60k€];Private;Minivan;yes;0;9;z_Highly Rural/ Rural;24/01/2022 05:53;complet;dev_express;[200€ - 400€]
113;M;53;Non;Non;[40k€ - 60k€];Commercial;Minivan;no;3;6;Highly Urban/ Urban;27/01/2022 08:09;complet;dev_premium;[400€ - 600€]
114;M;52;Non;Non;[< 20k€];Private;z_SUV;no;2;1;Highly Urban/ Urban;26/04/2022 15:07;complet;dev_express;[200€ - 400€]
115;F;57;Non;Oui;[> 100k€];Private;Minivan;yes;5;11;Highly Urban/ Urban;28/01/2022 11:20;complet;dev_express;[200€ - 400€]
116;M;23;Non;Oui;[< 20k€];Commercial;Panel Truck;yes;0;14;Highly Urban/ Urban;25/03/2022 12:49;complet;dev_integral;[200€ - 400€]
117;F;55;Non;Non;[> 100k€];Private;Minivan;no;0;15;Highly Urban/ Urban;26/05/2022 21:39;complet;dev_integral;[200€ - 400€]
118;M;53;Non;Oui;[20k€ - 40k€];Private;Minivan;yes;2;1;Highly Urban/ Urban;20/04/2022 23:17;complet;dev_premium;[200€ - 400€]
119;M;0;Non;Non;[40k€ - 60k€];Private;Minivan;yes;0;19;Highly Urban/ Urban;09/03/2022 14:39;complet;dev_express;[200€ - 400€]
120;F;61;Non;Non;[40k€ - 60k€];Private;z_SUV;no;0;1;Highly Urban/ Urban;03/04/2022 06:07;complet;dev_integral;[200€ - 400€]
121;M;32;Non;Non;[80k€ - 100k€];Private;z_SUV;no;4;1;Highly Urban/ Urban;04/02/2022 15:17;complet;dev_express;[200€ - 400€]
122;M;5;Oui;Oui;[< 20k€];Commercial;Pickup;yes;2;1;Highly Urban/ Urban;09/04/2022 00:17;complet;dev_express;[200€ - 400€]
123;F;49;Non;Oui;[< 20k€];Private;Minivan;no;3;1;Highly Urban/ Urban;07/03/2022 14:13;complet;dev_integral;[200€ - 400€]
124;F;59;Non;Oui;[< 20k€];Private;Sports Car;no;0;9;Highly Urban/ Urban;07/01/2022 04:46;complet;dev_integral;[200€ - 400€]
125;F;65;Non;Non;[80k€ - 100k€];Private;z_SUV;no;4;15;Highly Urban/ Urban;24/02/2022 21:52;complet;dev_express;[200€ - 400€]
126;M;21;Oui;Oui;[> 100k€];Private;z_SUV;no;4;15;Highly Urban/ Urban;08/04/2022 10:46;complet;dev_integral;[200€ - 400€]
127;F;30;Non;Oui;[60k€ - 80k€];Private;z_SUV;no;2;15;z_Highly Rural/ Rural;23/03/2022 22:20;complet;dev_premium;[400€ - 600€]
128;M;84;Non;Non;[< 20k€];Private;Van;no;0;9;Highly Urban/ Urban;26/05/2022 21:07;complet;dev_integral;[200€ - 400€]
129;F;53;Non;Non;[80k€ - 100k€];Private;Minivan;no;1;7;Highly Urban/ Urban;02/01/2022 05:31;complet;dev_integral;[200€ - 400€]
130;F;28;Non;Non;[< 20k€];Commercial;Pickup;yes;0;1;Highly Urban/ Urban;19/03/2022 01:46;complet;dev_premium;[200€ - 400€]
131;M;33;Non;Non;[< 20k€];Private;Sports Car;no;2;5;z_Highly Rural/ Rural;17/05/2022 00:52;complet;dev_integral;[200€ - 400€]
132;M;17;Oui;Oui;[20k€ - 40k€];Commercial;Minivan;no;2;4;Highly Urban/ Urban;24/01/2022 05:37;complet;dev_integral;[200€ - 400€]
133;F;30;Non;Non;[60k€ - 80k€];Private;Minivan;yes;3;0;Highly Urban/ Urban;22/01/2022 22:28;complet;dev_express;[200€ - 400€]
134;M;49;Non;Oui;[40k€ - 60k€];Private;z_SUV;no;1;12;Highly Urban/ Urban;05/02/2022 16:47;complet;dev_integral;[200€ - 400€]
135;M;37;Oui;Oui;[< 20k€];Private;z_SUV;no;4;11;z_Highly Rural/ Rural;12/04/2022 03:39;complet;dev_vip;[400€ - 600€]
136;M;16;Non;Non;[40k€ - 60k€];Private;Sports Car;no;0;15;Highly Urban/ Urban;02/02/2022 02:18;complet;dev_integral;[200€ - 400€]
137;M;56;Non;Oui;[40k€ - 60k€];Commercial;Van;no;5;0;Highly Urban/ Urban;15/02/2022 23:41;complet;dev_integral;[200€ - 400€]
138;M;63;Non;Oui;[20k€ - 40k€];Commercial;Van;yes;2;1;Highly Urban/ Urban;27/03/2022 04:34;complet;dev_integral;[200€ - 400€]
139;F;84;Non;Non;[80k€ - 100k€];Commercial;Panel Truck;no;5;10;Highly Urban/ Urban;25/04/2022 16:57;complet;dev_express;[200€ - 400€]
140;M;14;Non;Non;[20k€ - 40k€];Private;Pickup;no;3;1;z_Highly Rural/ Rural;17/02/2022 09:12;complet;dev_premium;[400€ - 600€]
141;F;70;Non;Non;[> 100k€];Private;Sports Car;no;1;10;Highly Urban/ Urban;06/03/2022 05:10;complet;dev_integral;[200€ - 400€]
142;M;69;Non;Non;[60k€ - 80k€];Commercial;Minivan;no;7;10;Highly Urban/ Urban;08/04/2022 04:34;complet;dev_express;[200€ - 400€]
143;F;3;Non;Non;[60k€ - 80k€];Private;z_SUV;no;6;16;Highly Urban/ Urban;05/01/2022 23:57;complet;dev_integral;[200€ - 400€]
144;M;63;Non;Non;[> 100k€];Commercial;Panel Truck;yes;0;6;Highly Urban/ Urban;10/05/2022 21:14;complet;dev_express;[200€ - 400€]
145;F;27;Non;Non;[40k€ - 60k€];Private;Minivan;yes;0;20;Highly Urban/ Urban;09/03/2022 04:34;complet;dev_express;[200€ - 400€]
146;M;21;Non;Non;[60k€ - 80k€];Private;Van;no;0;1;Highly Urban/ Urban;06/01/2022 19:41;complet;dev_express;[200€ - 400€]
147;F;57;Non;Non;[< 20k€];Commercial;Van;no;0;12;Highly Urban/ Urban;16/02/2022 23:39;complet;dev_express;[200€ - 400€]
148;F;90;Non;Oui;[60k€ - 80k€];Private;Sports Car;no;0;17;Highly Urban/ Urban;31/05/2022 15:46;complet;dev_integral;[200€ - 400€]
149;F;62;Non;Non;[> 100k€];Private;Minivan;no;1;20;Highly Urban/ Urban;30/04/2022 07:11;complet;dev_express;[200€ - 400€]
150;F;20;Oui;Oui;[20k€ - 40k€];Private;Minivan;no;0;5;Highly Urban/ Urban;05/02/2022 06:43;complet;dev_express;[200€ - 400€]
151;M;52;Non;Non;[> 100k€];Commercial;Panel Truck;no;4;15;Highly Urban/ Urban;24/02/2022 22:38;complet;dev_express;[200€ - 400€]
152;F;48;Non;Non;[< 20k€];Commercial;Panel Truck;yes;1;10;Highly Urban/ Urban;26/03/2022 07:37;complet;dev_integral;[200€ - 400€]
153;F;31;Non;Non;[40k€ - 60k€];Private;Minivan;yes;5;15;Highly Urban/ Urban;17/01/2022 11:38;complet;dev_integral;[200€ - 400€]
154;F;11;Non;Non;[< 20k€];Private;Pickup;no;1;1;Highly Urban/ Urban;13/03/2022 16:07;complet;dev_integral;[200€ - 400€]
155;M;49;Non;Non;[40k€ - 60k€];Commercial;Pickup;yes;0;7;Highly Urban/ Urban;08/05/2022 12:04;complet;dev_integral;[200€ - 400€]
156;F;75;Non;Non;[80k€ - 100k€];Private;Minivan;no;0;15;z_Highly Rural/ Rural;26/02/2022 20:58;complet;dev_express;[200€ - 400€]
157;M;63;Non;Oui;[< 20k€];Private;z_SUV;no;0;1;z_Highly Rural/ Rural;09/03/2022 14:05;complet;dev_integral;[200€ - 400€]
158;F;74;Non;Non;[< 20k€];Commercial;Pickup;yes;2;11;z_Highly Rural/ Rural;27/03/2022 17:26;complet;dev_integral;[200€ - 400€]
159;F;21;Non;Non;[20k€ - 40k€];Private;Minivan;yes;1;1;Highly Urban/ Urban;18/02/2022 07:19;complet;dev_integral;[200€ - 400€]
160;F;16;Non;Non;[40k€ - 60k€];Commercial;Van;no;8;11;Highly Urban/ Urban;11/04/2022 13:50;complet;dev_integral;[200€ - 400€]
161;F;62;Non;Non;[20k€ - 40k€];Private;Minivan;no;5;15;z_Highly Rural/ Rural;25/02/2022 19:43;complet;dev_integral;[200€ - 400€]
162;F;62;Non;Non;[80k€ - 100k€];Commercial;Van;no;8;8;Highly Urban/ Urban;13/02/2022 15:16;complet;dev_integral;[200€ - 400€]
163;F;82;Oui;Oui;[20k€ - 40k€];Private;z_SUV;no;2;19;Highly Urban/ Urban;01/03/2022 00:11;complet;dev_express;[200€ - 400€]
164;M;51;Non;Oui;[60k€ - 80k€];Private;Minivan;no;0;9;Highly Urban/ Urban;24/01/2022 09:56;complet;dev_integral;[200€ - 400€]
165;F;35;Non;Non;[80k€ - 100k€];Commercial;Pickup;no;0;0;Highly Urban/ Urban;11/03/2022 14:38;complet;dev_integral;[200€ - 400€]
166;M;58;Non;Non;[< 20k€];Private;z_SUV;no;0;9;z_Highly Rural/ Rural;07/03/2022 01:05;complet;dev_express;[200€ - 400€]
167;F;1;Non;Non;[< 20k€];Private;z_SUV;no;3;5;Highly Urban/ Urban;20/04/2022 03:46;complet;dev_integral;[200€ - 400€]
168;M;86;Non;Oui;[< 20k€];Commercial;z_SUV;no;7;0;Highly Urban/ Urban;21/05/2022 17:06;complet;dev_express;[200€ - 400€]
169;M;90;Non;Non;[80k€ - 100k€];Private;Pickup;no;2;17;Highly Urban/ Urban;11/03/2022 17:06;complet;dev_integral;[200€ - 400€]
170;M;63;Non;Non;[40k€ - 60k€];Commercial;Pickup;no;1;17;Highly Urban/ Urban;14/03/2022 14:38;complet;dev_integral;[200€ - 400€]
171;F;86;Non;Oui;[40k€ - 60k€];Commercial;z_SUV;no;0;7;Highly Urban/ Urban;09/03/2022 21:30;complet;dev_express;[200€ - 400€]
172;M;70;Non;Oui;[40k€ - 60k€];Commercial;Pickup;yes;2;13;z_Highly Rural/ Rural;10/05/2022 23:21;complet;dev_premium;[200€ - 400€]
173;F;78;Non;Oui;[80k€ - 100k€];Commercial;Van;yes;1;9;Highly Urban/ Urban;12/02/2022 04:17;complet;dev_express;[200€ - 400€]
174;M;37;Non;Non;[60k€ - 80k€];Commercial;Van;no;0;4;Highly Urban/ Urban;22/03/2022 17:53;complet;dev_express;[200€ - 400€]
